taxon_id,scientific_name,family,kingdom,temp_min_c,temp_max_c,rainfall_min_mm_year,rainfall_max_mm_year,ph_min,ph_max,uses,growth_form_uri,plant_form_uri,soil_depth,soil_texture_uri,source
38133,Girardinia diversifolia,,Archaeplastida,12,18,1500,3500,6.5,7.5,,http://eol.org/schema/terms/multipleStems,http://purl.obolibrary.org/obo/FLOPO_0900037,150,,FAO ECOCROP-derived DwC-A measurement data
38279,Faurea saligna,Proteaceae,Archaeplastida,20,28,500,1000,5.5,7,fuelwood | ornamental/turf | windbreak,http://eol.org/schema/terms/singleStem,http://purl.obolibrary.org/obo/FLOPO_0900033,deep (>>150 cm),http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
38291,Protea caffra ssp. caffra,Proteaceae,Archaeplastida,15,25,400,900,5,7,,http://eol.org/schema/terms/singleStem,https://www.wikidata.org/entity/Q757163,150,http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
42642,Albizia harveyi,,Archaeplastida,18,28,900,1800,5,5.5,,http://eol.org/schema/terms/singleStem,http://purl.obolibrary.org/obo/FLOPO_0900033,deep (>>150 cm),http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
42696,Burkea africana,Leguminosae,Archaeplastida,14,36,650,850,5,7,fuelwood,http://eol.org/schema/terms/singleStem,https://www.wikidata.org/entity/Q757163,deep (>>150 cm),http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
42707,Baikiaea plurijuga,Leguminosae,Archaeplastida,25,38,600,1000,5,5.5,ornamental/turf,http://eol.org/schema/terms/singleStem,http://purl.obolibrary.org/obo/FLOPO_0900033,deep (>>150 cm),http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
42760,Bolusanthus speciosus,Leguminosae,Archaeplastida,17,27,500,650,6.5,8,ornamental/turf,http://eol.org/schema/terms/singleStem,http://purl.obolibrary.org/obo/FLOPO_0900033,deep (>>150 cm),http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
43523,Crotalaria podocarpa,Leguminosae,Archaeplastida,,,,,,,,,,,,FAO ECOCROP-derived DwC-A measurement data
43938,Tephrosia lupinifolia,Leguminosae,Archaeplastida,,,,,,,,,,,,FAO ECOCROP-derived DwC-A measurement data
43996,Sesbania rostrata,,Archaeplastida,15,30,1500,3500,6,7.5,manure/fertilizer,http://eol.org/schema/terms/multipleStems,http://purl.obolibrary.org/obo/FLOPO_0900037,deep (>>150 cm),,FAO ECOCROP-derived DwC-A measurement data
44070,Zornia glochidiata,Leguminosae,Archaeplastida,,,,,,,,,,,,FAO ECOCROP-derived DwC-A measurement data
44074,Desmodium distortum,Leguminosae,Archaeplastida,,,,,,,,,,,,FAO ECOCROP-derived DwC-A measurement data
44088,Dalbergia melanoxylon,Leguminosae,Archaeplastida,20,35,700,1200,5.5,7,fuelwood,http://eol.org/schema/terms/singleStem,http://purl.obolibrary.org/obo/FLOPO_0900033,150,http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
44104,Erythrina caffra,Leguminosae,Archaeplastida,16,28,700,1000,5.5,7,erosion control | fuelwood | mammals | mulch | ornamental/turf,http://eol.org/schema/terms/singleStem,http://purl.obolibrary.org/obo/FLOPO_0900033,deep (>>150 cm),http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
44160,Rhynchosia memnonia,Leguminosae,Archaeplastida,,,,,,,,,,,,FAO ECOCROP-derived DwC-A measurement data
44223,Eriosema psoraleoides,Leguminosae,Archaeplastida,,,,,,,,,,,,FAO ECOCROP-derived DwC-A measurement data
44268,Macrotyloma daltonii,,Archaeplastida,22,28,600,700,6.5,7.5,,http://eol.org/schema/terms/multipleStems,http://purl.obolibrary.org/obo/FLOPO_0900037,50,,FAO ECOCROP-derived DwC-A measurement data
44868,Calodendrum capense,Rutaceae,Archaeplastida,20,30,800,1500,5.5,7,fuelwood | manure/fertilizer | ornamental/turf | shade & shelter,http://eol.org/schema/terms/singleStem,http://purl.obolibrary.org/obo/FLOPO_0900033,deep (>>150 cm),http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
45195,Ekebergia capensis,Meliaceae,Archaeplastida,18,26,900,2000,5.5,7,erosion control | fuelwood | ornamental/turf,http://eol.org/schema/terms/singleStem,http://purl.obolibrary.org/obo/FLOPO_0900033,deep (>>150 cm),http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
45286,Securidaca longependunculata,Polygalaceae,Archaeplastida,20,30,600,1000,5,7,fuelwood | lipids/oil & fats | mammals | ornamental/turf,http://eol.org/schema/terms/singleStem,http://purl.obolibrary.org/obo/FLOPO_0900033,deep (>>150 cm),http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
45598,Sapium ellipticum,Euphorbiaceae,Archaeplastida,20,27,1200,2000,5,6.5,fuelwood | ornamental/turf,http://eol.org/schema/terms/singleStem,http://purl.obolibrary.org/obo/FLOPO_0900033,deep (>>150 cm),http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
45894,Sclerocarya birrea ssp. caffra,Anacardiaceae,Archaeplastida,20,40,400,1200,6,7,insects | lipids/oil & fats | non-vertebrate livestock | ornamental/turf | shade & shelter,http://eol.org/schema/terms/singleStem,http://purl.obolibrary.org/obo/FLOPO_0900033,deep (>>150 cm),http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
46753,Warburgia salutaris,Canellaceae,Archaeplastida,15,25,600,1500,5,7,fuelwood | manure/fertilizer | shade & shelter,http://eol.org/schema/terms/singleStem,http://purl.obolibrary.org/obo/FLOPO_0900033,deep (>>150 cm),http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
47120,Combretum molle,Combretaceae,Archaeplastida,,,,,,,fuelwood | mulch,http://eol.org/schema/terms/singleStem,https://www.wikidata.org/entity/Q757163,,http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
47139,Terminalia prunioides,Combretaceae,Archaeplastida,20,35,450,900,6,8,fuelwood | manure/fertilizer,http://eol.org/schema/terms/singleStem,https://www.wikidata.org/entity/Q757163,deep (>>150 cm),http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
48664,Rauvolfia caffra,Apocynaceae,Archaeplastida,,,500,1300,,,,http://eol.org/schema/terms/singleStem,http://purl.obolibrary.org/obo/FLOPO_0900033,deep (>>150 cm),http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
48742,Beta vulgaris var. saccharifera,Chenopodiaceae,Archaeplastida,15,25,400,700,6,6.8,petroleum substitutes/alcohol,http://eol.org/schema/terms/singleStem,http://purl.obolibrary.org/obo/FLOPO_0900037,deep (>>150 cm),http://purl.obolibrary.org/obo/FLOPO_0980072,FAO ECOCROP-derived DwC-A measurement data
48747,Sorghum bicolor,Gramineae,Archaeplastida,22,35,400,600,5.5,7.5,non-wood fuel,http://eol.org/schema/terms/singleStem,http://purl.obolibrary.org/obo/FLOPO_0900036,150,http://purl.obolibrary.org/obo/FLOPO_0980071,FAO ECOCROP-derived DwC-A measurement data
48854,Bothriochloa radicans,Gramineae,Archaeplastida,,,,,,,,,,,,FAO ECOCROP-derived DwC-A measurement data
48863,Enneapogon scoparius,Gramineae,Archaeplastida,,,,,,,,,,,,FAO ECOCROP-derived DwC-A measurement data
48867,Eustachys paspaloides,Gramineae,Archaeplastida,,,,,,,,,,,,FAO ECOCROP-derived DwC-A measurement data
49167,Stipagrostis amabilis,Gramineae,Archaeplastida,20,40,150,200,6.5,8,erosion control,http://eol.org/schema/terms/multipleStems,http://purl.obolibrary.org/obo/FLOPO_0900036,150,http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
49181,Fagus sylvatica,Fagaceae,Archaeplastida,10,20,500,1000,5,7,fuelwood | lipids/oil & fats | ornamental/turf,http://eol.org/schema/terms/singleStem,http://purl.obolibrary.org/obo/FLOPO_0900033,deep (>>150 cm),http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
49188,Grindelia robusta,Compositae,Archaeplastida,,,,,,,,,http://eol.org/schema/terms/subshrub,,,FAO ECOCROP-derived DwC-A measurement data
49189,Artemisia glacialis,Compositae,Archaeplastida,,,,,,,,,http://purl.obolibrary.org/obo/FLOPO_0900037,,,FAO ECOCROP-derived DwC-A measurement data
49210,Leontopodium alpinum,Compositae,Archaeplastida,,,,,,,,,http://purl.obolibrary.org/obo/FLOPO_0900037,,http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
